위양성 데이터 (21/100)

#CASE75 결과 : False, 거리 : 11.301724743711132
얼굴사진 8번, 신분증 62번
#CASE76 결과 : False, 거리 : 10.194995122232573
얼굴사진 47번, 신분증 73번
#CASE77 결과 : True, 거리 : 9.305827794870687
얼굴사진 71번, 신분증 26번
#CASE78 결과 : True, 거리 : 5.395309368745123
얼굴사진 65번, 신분증 53번
#CASE79 결과 : True, 거리 : 9.995600100174519
얼굴사진 63번, 신분증 46번
#CASE80 결과 : False, 거리 : 11.958191725875718
#CASE81 얼굴 검출 실패!
얼굴사진 1번, 신분증 69번
#CASE82 결과 : False, 거리 : 11.2935328123197
얼굴사진 70번, 신분증 80번
#CASE83 결과 : True, 거리 : 7.345618560384835
얼굴사진 79번, 신분증 43번
#CASE84 결과 : False, 거리 : 10.219987065427743
얼굴사진 59번, 신분증 77번
#CASE85 결과 : False, 거리 : 12.581130694276437
얼굴사진 4번, 신분증 30번
#CASE86 결과 : False, 거리 : 11.88548022416274
얼굴사진 82번, 신분증 23번
#CASE87 결과 : True, 거리 : 8.414305225389516
얼굴사진 71번, 신분증 75번
#CASE88 결과 : True, 거리 : 8.303443128469237
얼굴사진 24번, 신분증 12번
#CASE89 결과 : True, 거리 : 9.961595959151476
얼굴사진 71번, 신분증 33번
#CASE90 결과 : True, 거리 : 6.462815832749913
얼굴사진 5번, 신분증 87번
#CASE91 결과 : False, 거리 : 10.291105443515036
얼굴사진 10번, 신분증 11번
#CASE92 결과 : True, 거리 : 9.12548807057363
얼굴사진 3번, 신분증 58번
#CASE93 결과 : False, 거리 : 11.252514071047273
얼굴사진 2번, 신분증 97번
#CASE94 결과 : True, 거리 : 1.125889887980824
얼굴사진 97번, 신분증 36번
#CASE95 결과 : True, 거리 : 7.229480192152689
얼굴사진 32번, 신분증 35번
#CASE96 결과 : True, 거리 : 8.322937486274125
얼굴사진 15번, 신분증 80번
#CASE97 결과 : True, 거리 : 3.175596828841388
#CASE98 얼굴 검출 실패!
얼굴사진 38번, 신분증 9번
#CASE99 결과 : True, 거리 : 8.821849895211445
얼굴사진 22번, 신분증 21번
#CASE100 결과 : True, 거리 : 9.450349353219622
