#CASE73 결과 : False, 거리 : 0.6070994389319043
얼굴사진 100번, 신분증 72번
#CASE74 결과 : False, 거리 : 0.8412481634768472
얼굴사진 27번, 신분증 55번
#CASE75 결과 : False, 거리 : 0.684645490965461
얼굴사진 8번, 신분증 62번
#CASE76 결과 : True, 거리 : 0.2306829857217697
얼굴사진 47번, 신분증 73번
#CASE77 결과 : False, 거리 : 0.797099779469276
얼굴사진 71번, 신분증 26번
#CASE78 결과 : False, 거리 : 0.6638110698779407
얼굴사진 65번, 신분증 53번
#CASE79 결과 : False, 거리 : 0.5165250812728185
얼굴사진 63번, 신분증 46번
#CASE80 결과 : False, 거리 : 0.6177162695353018
#CASE81 얼굴 검출 실패!
얼굴사진 1번, 신분증 69번
#CASE82 결과 : False, 거리 : 0.7382158199422129
얼굴사진 70번, 신분증 80번
#CASE83 결과 : False, 거리 : 0.6354410411477678
얼굴사진 79번, 신분증 43번
#CASE84 결과 : True, 거리 : 0.17214255663301237
얼굴사진 59번, 신분증 77번
#CASE85 결과 : False, 거리 : 0.9357841747996336
얼굴사진 4번, 신분증 30번
#CASE86 결과 : False, 거리 : 0.5266297877056361
얼굴사진 82번, 신분증 23번
#CASE87 결과 : False, 거리 : 0.6838050661446795
얼굴사진 71번, 신분증 75번
#CASE88 결과 : False, 거리 : 0.5465955439427145
얼굴사진 24번, 신분증 12번
#CASE89 결과 : False, 거리 : 0.33186981489205936
얼굴사진 71번, 신분증 33번
#CASE90 결과 : False, 거리 : 0.7590662197196351
얼굴사진 5번, 신분증 87번
#CASE91 결과 : False, 거리 : 0.436008126911671
얼굴사진 10번, 신분증 11번
#CASE92 결과 : False, 거리 : 0.6564054461050804
얼굴사진 3번, 신분증 58번
#CASE93 결과 : False, 거리 : 0.8642403173698511
얼굴사진 2번, 신분증 97번
#CASE94 결과 : False, 거리 : 0.44747870642851817
얼굴사진 97번, 신분증 36번
#CASE95 결과 : False, 거리 : 0.47857934132038926
얼굴사진 32번, 신분증 35번
#CASE96 결과 : False, 거리 : 0.7808392085024258
얼굴사진 15번, 신분증 80번
#CASE97 결과 : False, 거리 : 0.6076661792395531
#CASE98 얼굴 검출 실패!
얼굴사진 38번, 신분증 9번
#CASE99 결과 : False, 거리 : 0.5921156825407672
얼굴사진 22번, 신분증 21번
#CASE100 결과 : False, 거리 : 0.827364036293786
